dataset_name,run_name,model_name,model_type,max_seq_length,finetuning_method,optim,learning_rate,lr_scheduler_type,warmup_steps,warmup_ratio,per_device_train_batch_size,per_device_eval_batch_size,gradient_accumulation_steps,eval_accumulation_steps,num_train_epochs,evaluation_strategy,eval_steps,metric_for_best_model,torch_dtype,gpu,gpu_count,max_gpu_0_mem_percent,max_gpu_0_mem_gb,max_gpu_1_mem_percent,max_gpu_1_mem_gb,distributed_training_method,weight_decay,max_grad_norm,lora_rank,lora_alpha,lora_target_modules,train/loss,eval/loss,test/loss,eval/accuracy,test/accuracy,eval/f1_macro,test/f1_macro,train_runtime,eval/runtime,test/runtime,_runtime
scotus,google/gemma_7b_LoRA_coastalcph/lex_glue_scotus,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,77.89,37.37841796875,87.1,41.79754638671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",1.0076,1.5170536041259766,1.734017848968506,0.5685714285714286,0.48857142857142855,0.3205096364412049,0.25517546129552426,3177.34,76.9071,77.581,3340.1358432769775
scotus,meta_llama/Llama_2_7b_hf_LoRA_coastalcph/lex_glue_scotus,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,float16,NVIDIA RTX A6000,2,73.56,35.30224609375,71.91,34.50848388671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",2.1812,2.497053623199463,2.6675000190734863,0.265,0.23214285714285715,0.11970724811506456,0.09022249370192233,2758.6035,64.2291,65.2159,2894.8928718566895
scotus,mistralai/Mistral_7B_v0.1_LoRA_coastalcph/lex_glue_scotus,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,74.97,35.97607421875,70.37,33.77020263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",1.0795,2.5510714054107666,3.3631250858306885,0.40785714285714286,0.32357142857142857,0.26016543985954915,0.2008723322378428,2847.2746,66.0973,66.6248,2987.2134680747986
amazon,Qwen/Qwen1.5_7B_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,73.71,35.37060546875,73.42,35.23114013671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.4384,0.4968219995498657,0.4752732813358307,0.8596837944664032,0.8656126482213439,0.8369626014217448,0.8325216055106754,6735.4111,69.9894,71.3407,6885.440827846527
amazon,google/gemma_7b_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,77.89,37.37841796875,77.6,37.23895263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.3038,0.389240562915802,0.3690814375877381,0.8801054018445322,0.8978919631093544,0.8669605484213847,0.8739907819525782,7762.1951,88.7147,85.379,7939.275339603424
amazon,meta_llama/Llama_2_7b_hf_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,float16,NVIDIA RTX A6000,2,73.56,35.30224609375,73.27,35.16278076171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.3999,0.41830843687057495,0.39647409319877625,0.8715415019762845,0.8814229249011858,0.8500852906686795,0.8548648241990613,6783.4368,70.9717,72.2785,6933.724825620651
amazon,mistralai/Mistral_7B_v0.1_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,74.97,35.97607421875,74.68,35.83660888671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.2576,0.37538599967956543,0.37086471915245056,0.8893280632411067,0.8919631093544137,0.8688627972191362,0.8772584324087768,7048.1503,73.6044,74.9242,7204.1651248931885
twitter,Qwen/Qwen1.5_7B_LoRA_MAdAiLab/twitter_disaster_default,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,73.71,35.37060546875,73.42,35.23114013671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.4189,0.7973345518112183,0.7253561615943909,0.7150735294117647,0.7417279411764706,0.6611572572705318,0.6892802878238908,4685.4738,49.6177,51.0672,4795.998678684235
twitter,google/gemma_7b_LoRA_MAdAiLab/twitter_disaster_default,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,77.89,37.37841796875,77.6,37.23895263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.3723,0.6683134436607361,0.5955308079719543,0.7435661764705882,0.7481617647058824,0.6862573241455723,0.6897768897768898,5398.8586,61.7201,61.11,5527.074429273605
twitter,meta_llama/Llama_2_7b_hf_LoRA_MAdAiLab/twitter_disaster_default,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,float16,NVIDIA RTX A6000,2,73.56,35.30224609375,73.27,35.16278076171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.4372,0.6023667454719543,0.6161534786224365,0.7233455882352942,0.7334558823529411,0.6628086443587107,0.6716616716616717,4645.5769,50.1059,51.3404,4754.859617471695
